2022-01-26 16:03:30 configure libpython2.7:amd64 2.7.16-2+deb10u1 <none>
2022-01-26 16:03:30 status unpacked libpython2.7:amd64 2.7.16-2+deb10u1
2022-01-26 16:03:30 status half-configured libpython2.7:amd64 2.7.16-2+deb10u1
2022-01-26 16:03:30 status installed libpython2.7:amd64 2.7.16-2+deb10u1
2022-01-26 16:03:30 configure libgc1c2:amd64 1:7.6.4-0.4 <none>
2022-01-26 16:03:30 status unpacked libgc1c2:amd64 1:7.6.4-0.4
2022-01-26 16:03:30 status half-configured libgc1c2:amd64 1:7.6.4-0.4
2022-01-26 16:03:30 status installed libgc1c2:amd64 1:7.6.4-0.4
2022-01-26 16:03:30 configure liblzo2-2:amd64 2.10-0.1 <none>
2022-01-26 16:03:30 status unpacked liblzo2-2:amd64 2.10-0.1
2022-01-26 16:03:30 status half-configured liblzo2-2:amd64 2.10-0.1
2022-01-26 16:03:30 status installed liblzo2-2:amd64 2.10-0.1
2022-01-26 16:03:30 configure mariadb-common:all 1:10.3.31-0+deb10u1 <none>
2022-01-26 16:03:30 status unpacked mariadb-common:all 1:10.3.31-0+deb10u1
2022-01-26 16:03:30 status half-configured mariadb-common:all 1:10.3.31-0+deb10u1
2022-01-26 16:03:30 status installed mariadb-common:all 1:10.3.31-0+deb10u1
2022-01-26 16:03:30 configure libntlm0:amd64 1.5-1+deb10u1 <none>
2022-01-26 16:03:30 status unpacked libntlm0:amd64 1.5-1+deb10u1
2022-01-26 16:03:30 status half-configured libntlm0:amd64 1.5-1+deb10u1
2022-01-26 16:03:30 status installed libntlm0:amd64 1.5-1+deb10u1
2022-01-26 16:03:30 configure libfribidi0:amd64 1.0.5-3.1+deb10u1 <none>
2022-01-26 16:03:30 status unpacked libfribidi0:amd64 1.0.5-3.1+deb10u1
2022-01-26 16:03:30 status half-configured libfribidi0:amd64 1.0.5-3.1+deb10u1
2022-01-26 16:03:30 status installed libfribidi0:amd64 1.0.5-3.1+deb10u1
2022-01-26 16:03:30 configure mailutils-common:all 1:3.5-4 <none>
2022-01-26 16:03:30 status unpacked mailutils-common:all 1:3.5-4
2022-01-26 16:03:30 status half-configured mailutils-common:all 1:3.5-4
2022-01-26 16:03:30 status installed mailutils-common:all 1:3.5-4
2022-01-26 16:03:30 configure libmariadb3:amd64 1:10.3.31-0+deb10u1 <none>
2022-01-26 16:03:30 status unpacked libmariadb3:amd64 1:10.3.31-0+deb10u1
2022-01-26 16:03:30 status half-configured libmariadb3:amd64 1:10.3.31-0+deb10u1
2022-01-26 16:03:30 status installed libmariadb3:amd64 1:10.3.31-0+deb10u1
2022-01-26 16:03:30 configure libltdl7:amd64 2.4.6-9 <none>
2022-01-26 16:03:30 status unpacked libltdl7:amd64 2.4.6-9
2022-01-26 16:03:30 status half-configured libltdl7:amd64 2.4.6-9
2022-01-26 16:03:30 status installed libltdl7:amd64 2.4.6-9
2022-01-26 16:03:30 configure guile-2.2-libs:amd64 2.2.4+1-2+deb10u1 <none>
2022-01-26 16:03:30 status unpacked guile-2.2-libs:amd64 2.2.4+1-2+deb10u1
2022-01-26 16:03:30 status half-configured guile-2.2-libs:amd64 2.2.4+1-2+deb10u1
2022-01-26 16:03:30 status installed guile-2.2-libs:amd64 2.2.4+1-2+deb10u1
2022-01-26 16:03:30 configure libkyotocabinet16v5:amd64 1.2.76-4.2+b1 <none>
2022-01-26 16:03:30 status unpacked libkyotocabinet16v5:amd64 1.2.76-4.2+b1
2022-01-26 16:03:30 status half-configured libkyotocabinet16v5:amd64 1.2.76-4.2+b1
2022-01-26 16:03:30 status installed libkyotocabinet16v5:amd64 1.2.76-4.2+b1
2022-01-26 16:03:30 configure libgsasl7:amd64 1.8.0-8+b2 <none>
2022-01-26 16:03:30 status unpacked libgsasl7:amd64 1.8.0-8+b2
2022-01-26 16:03:30 status half-configured libgsasl7:amd64 1.8.0-8+b2
2022-01-26 16:03:30 status installed libgsasl7:amd64 1.8.0-8+b2
2022-01-26 16:03:30 configure libmailutils5:amd64 1:3.5-4 <none>
